userName,score,at,content,Gameplay,Visual,Performance,Feature
Ei,3,2023-06-07 14:38:45,"padahal baru aja saya memuji game ini, yaa overall bagus untuk game berbasis turn based. tapi terlalu banyak bug, sudah banyak bug seperti tiba tiba latar atau tempat tempat menghilang dan hanya ada orang contohnya saya saat upd 1.1, saat masuk pun tiba tiba semuanya menghilang dan hanya ada karakter karakter atau npc di wilayahnya spt xl, ae, atau jarilo6. tolonglah sy mau pull luocha buat nanti malah nge bug parahhh banget, tapi ntar saya coba login lagi jika belom bisa gimana hubunginya yaa?",1,-1,1,1
BRAVENCOOL,5,2023-06-07 8:28:27,"Alur cerita oke, character oke, latar oke, efek oke,.. Game ini sangat bagus overall.. Beberapa org org mungkin berfikir game ini membosankan karna cara bermain yang ""Turn Base"" , namun sejauh ini game ini tidak membosankan seperti game turn base lainnya.. Jadi layak dicoba. Untuk sekarang saya belum merasakan bug dalam game. Dan perlu diingat... Game ini masi membutuhkan device yg mid > High ya.. Untuk pengalaman yg lebih oke (tidak force close / lag)",1,1,1,1
kiky nugraha,4,2023-07-02 20:04:47,"Aku suka banget sama game ini. Dari alur cerita dan voice karakter nya pas ketika dialog. Sebagai referensi aja kak, coba di adakan fitur jump (lompat) supaya menghemat waktu ketika story, karena player lebih tertarik menggunakan rute yg pendek, disini ketika player menjalankan quest harus memutar karena karena tidak ada fitur jump untuk memotong jalan (rute) ke lokasi quest. Secara keseluruhan sudah baguss bagus kak. Terimakasih :)",1,1,1,-1
araffi alfarizi Gerhana,5,2023-07-17 21:06:08,"Setelah di update kemarin bug nya sudah di perbaiki yg di mana rendering grafik di 1 tempat ada yang gak ke render di beberapa hp, makin ringan beda jauh sama sebelum nya yang sebelumnya sering patah patah sampai forclose sekarang sudah mengurangi patah patah di dalam gamenya 👍",-1,-1,1,-1
Daw Law,1,2023-06-09 23:31:44,"Plisss saya suka game ini, tapi saya harus jujur, setelah maintenance terbaru, saya sudah tidak bisa memainkan game ini untuk selamanya. Sejak awal memang sudah berat saat loading masuk selalu login error. Sedangkan sekarang, benar benar tidak bisa masuk, bahkan force close. Terkadang bisa masuk, namun tampilannya kosong, cuma terlihat karakter dan musuh yg mengambang di luar angkasa. Kemudian tidak lama setelah itu, force close lagi.",1,-1,-1,-1
Nabil Naufal,5,2023-06-22 9:56:43,"Game ini tuh bagus, cuman kalau dimainkan di mobile ketika grafik sangat rendah di pindahkan ke grafik rendah/sedang dan seterusnya, selalu menjadi putih semua background bangunannya, saya harap semoga kedepannya bugnya bisa diselesaikan, sehingga player mobile seperti saya bisa menikmati game ini",1,-1,-1,-1
Arya Adirangga,2,2023-06-07 9:58:42,"Tolong dev semenjak update 1.1 kok banyak bug nya ya, seperti map yang hilang, bangunan hilang, suara patah² dll. Tolong developer di perbaiki lagi supaya lebih nyaman bagi player, kalau sudah di perbaiki rate nya saya naikin!",1,-1,-1,-1
Linaa,4,2023-06-12 4:25:22,"Sebenarnya gamenya ini bagus, tapi ada 1 hal yang bikin aku masih blm tau knp gtu, aku main pake HP, pas aku ganti grafik jadi yang lebih bagus gtu, gtw knp map nya itu jadi warna putih mendadak gtu😅 udh 2x pas mau ganti tapi malah sama dan tetap bgitu, solusi gmn ya? kurang nyaman soalnnya klo bgitu trs",1,-1,-1,1
Gandhi R,2,2023-07-17 14:48:53,"cuman di honkai star rail sinyal yang bagus dibuat lag dan itu parah banget. masa iya jaringan internet saya yang bisa open aplikasi lain dengan sangat lancar, pas buka hsr malah 0.01mb/s apa-apaan ini! perbaiki masalah sinyal ini dong, dikira cuman orang kaya doang yang make wifi yang punya hak download data cepet!",-1,-1,-1,1
Ahmad Zaky Maulana,2,2023-06-12 11:33:37,"Rusak rusak, ini kenapa setelah update 1.1 kok nggak nyaman banget mainnya, bangunan bangunan disekitar kok pada ilang ilang, kemarin pas 1.0 masalahnya cuman login eror tapi masih bisa lah klo berkali kali, tapi kali ini kok bisa badan keretanya ilang setengah ya pas waktu login screen. Yah saya cuman bisa ngomong tentang masalah bug bangunan ilang ilang ini aja, konten game dan gameplay main emang enak lah dan bagus, untung aja walau bug gini masih bisa dapat silver wolf hehe, thank you",1,-1,-1,-1
Rain Kurogane,4,2023-07-11 21:43:40,"Gameplay dan storynya sangat bagus apalagi desain karakternya yang menarik. Tapi saya harap ada fitur yg dapat menurunkan resolusi grafik utk cut scene nya karena saat cut scene selalu lag parah, dan itu membuat saya tidak terlalu menikmati story saat ada cut scene",1,-1,1,-1
Irawan Saputra,4,2023-07-15 8:53:29,"Overall bagus gamenya, cuma yang saya rasakan itu tiba"" Suka frame drop fps atau patah-patah, saya menggunakan wifi yang sangat lancar. Saya tidak tahu apakah itu bug atau bukan itu sangat mengganggu kenyamanan saya saat bermain device saya juga memakai helio G99 ram 256 gb tetep frame kalau itu bug tolong untuk pihak Dev segera memperbaiki nya terimakasih.",1,-1,-1,1
Gossun,4,2023-07-02 3:14:21,"sudah lebih lancar dari versi sebelumnya, glitch sudah banyak yang hilang, performa sudah lebih baik. Tapi saya menemui kendala, yaitu Honkai: Star Rail memakan cukup banyak ram di ponsel saya yang mana hal tersebut seringkali menyebabkan freeze terutama saat sedang transisi dalam game. Saya tidak tahu ini karena ponsel saya atau tidak tapi saya menggunakan ponsel dengan chipset helio G90T dan ram 6 gb",1,-1,1,-1
Johan,3,2023-06-20 10:19:01,"Game ini masih banyak bug, suara pas cutscene patah-patah, saat sprint atau switch karakter suka ada seperti glitch. Dan optimalisasinya kurang baik, masih lebih ringan Genshin Impact.",-1,-1,-1,-1
AiRi,4,2023-06-08 0:34:47,"Cuma 1 masalah saya sekarang. Mohon untuk resolusi cutscene di sesuaikan dengan kemampuan device, agar tidak terjadinya Frame drop dan suara yang terputus-putus. Karena masalah ini, saya jadi kurang bisa menikmati cerita nya. Padahal cutscene nya bagus. Mohon agar diperbaiki lagi.",-1,-1,-1,-1
Firman Hidayat,5,2023-06-07 13:01:29,"Setelah update versi 1.1 ada bug gamenya tersendat saat mau melihat karakter mungkin penyebabnya ada pada pengaturan kualitas bayangan saat menggunakan kualitas bayangan rendah, sedang, atau tinggi menyebabkan gamenya tersendat saat mau melihat karakter dan kalau dimatikan kualitas bayangan gamenya normal alias tidak ada masalah (tolong diperbaiki bugnya) device redmi note 8 pro",-1,1,-1,-1
_kkei riin,4,2023-06-28 9:40:48,"maaf ku kasih bintang 4 karena di game nya masih ada bug dan juga pas login screen nya itu kadang macet dan ga mau jalan padahal sinyal dan jaringan saya udh bagus, udh cuma itu doang masalah nya kalo dari segi gameplay ama grafik ok lah",1,1,-1,-1
Zhalillah Bilbina,1,2023-06-08 8:23:19,"Pada awal game ini rilis awalnya sih udh bagus meskipun masih ada bug sih,tapi kok tiba² habis update 1.1 malah banyak bug apalagi bugnya parah, gak bisa login lah force close lah. Saya sudah coba matikan dns reinstall tapi masih tetap error yg padahal sebelum update tdk ada error seperti ini pdhl untuk game hoyoverse lain device sy masih mampu dan tdk pernah error yg parah seperti ini. Sy harap hoyoverse segera memperbaiki bug ini secepatnya.",-1,-1,-1,-1
Dylan Zero,3,2023-06-20 9:33:00,"Jauh lebih menarik daripada yang saya kira, alur cerita sangat menarik, musuh bervariasi.. Tapi sekarang sudah mencapai level 60an misinya udah mulai redup enggak ada misi lagi, dan itu juga nambah sedikit-sedikit saja.. Seharusnya ada tim khusus yang setiap hari membuat misi yang lebih banyak, dan saat di Herta multiuniverse seharusnya bisa menggunakan makanan.. Aneh malah tidak bisa menggunakan makanan jadi hampir tidak berguna makanan yang kita buat karena tidak digunakan.",1,-1,-1,-1
Nur zhafira Hasanah,1,2023-06-30 13:36:14,"Kepada developer tolong ringankan beban game untuk player android termasuk saya. Setiap saya sedang bertempur dengan boss disimulated universe, itu selalu suka force close sampai terulang lebih dari 4×. Sebenarnya bisa jika saya turunkan grafiknya, tetapi pernah terjadi tetap saja force close padahal grafiknya sudah paling rendah. Awal² rilis gamenya masih normal. Tetapi update versi 1.1 restart nya semakin parah, tolonglah. Ringankan beban gamenya untuk player android yang terkena force close.",-1,-1,-1,-1
Daffa Kurniawan,5,2023-07-07 13:35:30,"Game terbaik yang pernah saya mainkan, ane sampai kecanduan sama nih game, tapi lebih di optimalkan lagi dong masih ada bug putih di refleksi rendah dan kalo misi storynya lebih di perbanyak lagi dan kasih lebih banyak event biar nggak bosan kalo misi storynya sudah mentok.",1,-1,-1,-1
Zypher,3,2023-06-13 2:04:39,"setelah update ke ver 1.1 device saya suka mati sendiri (restart) saat sedang saat buka menu karakter , sementara saat battle,eksplorasi dan menu lainnya (event,map,tas dll) lancar lancar aja dan jarang terjadi lag",-1,-1,-1,1
Niken Awra Salsabila,5,2023-07-19 6:26:57,"Game grafik, story dan playstyle udah bagus banget. Cuma saya setelah update selalu ada eror 1001_3 pada saat masuk ke game padahal sinyalnya bagus. Bukan hanya saya, tapi saya lihat banyak orang yg mengeluh dengan masalah yang sama seperti saya, semoga masalah ini cepat diperbaiki",1,1,-1,-1
Adisyt 12,3,2023-06-09 16:24:30,"Ntah ini karna device saya apa emang dari game nya yaa. Semenjak update 1.1 banyak sekali bug ,misal tiba2 nge-freeze ,layar tiba2 hitam ,dan sebagainya. Tolong dong di perbaiki, kalau bgini trus lama2 saya muak. Masalahnya main genshin atau main game lain gak kenapa-napa ,lancar2 aja. Cuman ini doang honkai star rail kok jadi gini semenjak update 1.1 Itu aja keluhan dari saya kalau urusan gameplay atau story gak usah ditanya saya suka. Terima kasih.",1,-1,-1,-1
Rayhan Alfredo,3,2023-06-08 7:19:02,Game ini sangat bagus tapi ada beberapa bug di kota kedua yaitu saat memakai karakter saat memukul beberapa diding kota tembus pandang dan dinding tembok kota juga tembus pandang saat saya memakai kualitas tempat rendah entah dari handpone saya atau gamenya padahal handpone saya speak tinggi tolong mohon di perbaiki jika ada kesalahan,-1,-1,-1,-1
SandKCL,4,2023-06-08 4:31:43,"Bug : pada 1.1 yang dimana data terunduh ulang dan menjadi sangat LAG, yang seharusnya kira² 8GB menjadi 16GB. Saya hapus dan unduh dari awal, baru bekerja menjadi normal kembali. Gamenya bagus, paling suka sama jalan ceritanya. sudah ada auto battle tapi belom ada auto walk. Jadi kalo main gak bisa sambil ngerjain yang lain.",1,-1,-1,-1
Joseph Stalin,5,2023-06-08 9:26:30,"Saya dari dulu suka sekali game buatan Mihoyo dari mulai Honkai Impact 3rd Gensgin Impact, semuanya bagus mungkin dari ketiga game ini memiliki masalah yang sama yap, masalah ukuran yang tidak bersahabat di kalangan Mobile Player (mungkin untuk saat ini Honkai star rail memiliki Ukuran yang kecil, tapi nanti?) Dan ada beberapa masalah yg ingin saya curhat kan. Entah mengapa Farming EXP Chara ini begitu sulit bukan musuhnya, tapi dari jumblah EXP Chara tersebut terlalu sedikit dan membuang waktu.",1,-1,-1,-1
Farrel,5,2023-06-28 9:52:27,"Gamenya sangat seru dan memiliki visual yang sangat menarik. Design karakternya juga memanjakan mata. Saat itu saya ada masalah di gamenya, lalu saya menghubungi csnya. Saat sudah diberi solusinya caranya berhasil dan sangat membantu",1,1,1,-1
Muhamad Krisna Kusuma Wiguna,2,2023-06-13 7:01:44,"Di hape Oppo A54, padahal jaringan aman. Tetapi setelah update terbaru udah bisa masuk, tapi langsung force close dan lantainya pada ilang. Tolong donk developer, padahal tertulis di play store perangkat kompatibel dan penyimpanan pun masih aman",-1,-1,-1,-1
Hugo Alfriado Ervans,3,2023-07-04 9:00:24,"Game nya bagus² aja, gameplay nya seru kek game pokemon yg jadul itu. Gatau nama style gameplay nya tpi seru, attack nya itu kayak giliran² gitu. Ah, kalau bisa next update di optimize lgi jdi agak ringan, udh setting low atau medium ttep lag. Sekian.",1,-1,-1,-1
Risda Juwita,5,2023-07-07 7:28:54,"Dah gak aneh lagi kalau hoyo si. Grafik, story, gameplay bagus. Satu saran, disediakan kamar untuk trailblazer yang bisa kita hias sesui keinginan, seperti teapotnya genshin. Trims🙏",1,1,-1,1
Yenkk Shine,1,2023-07-17 20:03:46,"Ga bisa masuk in game stak dikereta mulu. Udah gitu sering keluar game sendiri, sekalinya bisa masuk in game entah kenapa malah kedip"" ga jelas bangunan"" juga pada hilang bikin pusing. Trus jaringanya juga Hadehh padahal awal"" download bagus"" ajh gamenya juga asik. Cuma pas update yng skrang malah bikin jelek",1,-1,-1,-1
TYPE Y,2,2023-06-07 16:12:17,"Ada bug setelah update 1.1 yakni seluruh objek pada segalah map/lokasi di hsr menghilang atau bug yang sama seperti game genshin saat awal rilisnya dan bug login error kode 1001_3 pada intinya game mengalami bug grafik yang membuat keseluruhan bangunan,tanah tidak terlihat dan bug pada login yang membuat player tidak bisa memainkan game tolong dari pihak developer bisa di perbaiki pada update mendatang 🙏🙏",-1,-1,-1,-1
raditya Jun,5,2023-06-25 15:38:06,Untuk gameplay dan story' ok tapi disaat cutscene sama awal login itu kayak macet macet gitu dan sound pada cutscenenya itu kayak macet macet padahal di in game lancar lancar aja pake grafik Tinggi dan sangat tinggi tolong di perbaiki update selanjutnya,1,1,-1,-1
Fauzan Azhari,5,2023-07-07 6:20:55,"Sistem yang mudah dimengerti, UI yang menarik, alur cerita yang bagus, grafik detail, ada banyak konten end game, praktis karena ada fitur auto batle, dan yang terpenting sebagai game gacha Honkai Star Rail cukup ramah F2P",1,1,1,1
nadia mannul,5,2023-07-19 12:36:02,"Game santuyyyy banget, ga perlu pusing farming boring kaya kakak nya, grafik oke, gameplay santai, story kece abis (karakter nya cakep juga hehek.) Paling unggul dari game ini buat aku story nya untuk saat ini (arc Xianzhou Luofu) plot bener bener. Di tunggu kelanjutan story nya dev~",1,1,-1,1
Dorax,3,2023-07-19 9:28:46,"Makin di update makin nambah bug nya, hadeuh.. mulai dri loading screen ada glitch warna pink yg nutupin kepala kereta. Masuk ke game lama bngt. Tolong di fix bugnya min",-1,-1,-1,-1
virnado liepo,2,2023-07-19 4:27:24,Saya sering mengalami eror saat mendownload data. Data pra unduh yang sudah saya download saat update tidak terbaca sehingga perangkat mengunduh data yang baru lagi yang menyebabkan penyimpanan sangat besar.,-1,-1,-1,-1
Kuroshi tsuji,5,2023-07-18 23:18:46,"Saya sangat menikmati gameplaynya, dari segi desain karakter, skill, story. Saya sangat menyukainya. Untuk kedepannya mungkin bisa ditambahkan event sekian terima gaji 🤩",1,1,-1,1
Yudistira Ali Drajat,4,2023-07-12 1:47:57,"Entah kenapa pemakaian data Honkai star rail sangat besar. Dihitung per hari mencapai 2 Gb lebih dengan waktu bermain sekitar 1 jam. Saya yang menggunakan data seluler sangat merasa terbebani oleh hal tersebut. Sedangkan di genshin impact penggunaan data sangat kecil dengan skala waktu bermain yang sama. Apakah ada kesalahan dalam pengaturan atau terdapat bug, tolong pencerahan nya. Terimakasih",-1,-1,-1,-1
Chris Putra,5,2023-07-08 15:16:30,"Gamenya bagus,mungkin di beberapa aspek seperti elite enemynya,health elite enemy nya badag/terlalu tebal,dan kalo ngelock sekali serang langsung sekarat bjir,untuk eventnya bisalah ditambah tambah yg menarik buat nambah nambah star rail ticket buat ngegacha,story bagus,animasi bagus,percakapannya lucu,jadi interaksinya kelihatan hidup",1,1,-1,1
JieZanee,1,2023-06-12 17:08:21,"akhir2 ini susah banget untuk log in, selalu stuck di loading kereta, proses login bisa memakan waktu 10 menit, bahkan lebih. sekalinya muncul ""tekan untuk mulai"", malah log in error dan segala macam. awal rilis aman2 saja, saat update seperti ini, gamenya semakin susah untuk log in, kalau pun bisa log in, di in game lancar2 saja. saya pengguna Android dan Pc, di PC lancar, tidak ada kendala, dan menggunakan Hotspot dari HP, yang jadi masalah saat menggunakan Android, selalu log in error.",-1,-1,-1,-1
Hikari Ch.えみこひかり,1,2023-06-14 4:56:35,"Tolong untuk mihoyo/hoyovers Semenjak update V 1.1 beberapa device banyak mengalami gangguan saat bermain Honkai star rail dari setiap login selalu ada tulisan error dan harus realog, glitch dan beberapa bangunan/tembok tidak ke render dan bahkan lag yang parah sampai sering force close (Maaf kalo ku kasih bintang 1)",-1,-1,-1,-1
Rext. Zero,3,2023-06-11 22:40:48,"Terdapat bug pada salah satu misi Museum saat bertemu dengan tuan kaki dingin (sampo). Game tidak merespon dan berjalan normal (stuck) dalam misi tersebut dibagian Saat pela akan datang.Saat itu saya harus keluar dari game di tengah"" Misi karena alasan tertentu, dan ini benar"" Merugikan jika akun saya menjadi tidak bisa dimainkan hanya karena bug seperti ini, tolong respon secepatnya",-1,-1,-1,-1
Cat Moba,1,2023-06-19 19:30:56,"Aku selaku pemain baru HSR,aku ingin menyampaikan keluhan ketika saat login HSR konsumsi ram nya tidak stabil hingga menyebabkan force close, saat scene video juga sangat frame parah,hingga pas disalju stuck gabisa login lagi karena habis login langsung force close,tolong ya diperbaikin lagi,aku main Genshin Impact aja tidak separah itu hingga ram drop 400-600mb, perbedaan size juga sangat jauh Genshin Impact lebih unggul, tapi ini game dengan size 1/3 nya saja sangat frame parah tolong sekali!",-1,-1,-1,-1
Putra Fidea,4,2023-06-23 11:23:01,Gamenya menarik hanya saja menjadi sedikit membosankan sebab tidak adanya fitur skip dialog. Untuk dialog sub quest menurutku gak terlalu penting dan sangat diperlukan fitur skip dialog,1,-1,-1,-1
Aven Aven,4,2023-06-25 12:33:05,pas awal awal di rilis ini game bagus bagus aja enggak ada masalah tapi sejak update 1.1 mulai ada bug mulai dari pas udah masuk tiba tiba keluar sendiri dan pas saya liat detail latar tempatnya gelap semua sama juga pas lawan musuh tiba tiba aja keluar sendiri tolong dong hoyovers hilangin bugnya,1,-1,-1,-1
mamat,4,2023-06-30 18:03:35,"jujurly ak suka game kayak gini, gampang and simple trs juga grafiknya OMAGA SEPERTI ANIME🥰❤️‍🔥,.. oke langsung ke intinya aj masalahnya waktu login suka lag bgt trs juga kalo pencet ""mulai game"" disitu ngeframe jdi harus nungguin dlu. cukup segitu aja",1,1,-1,-1
Salma Mauliddina,4,2023-07-17 15:05:57,"Overall bagus sih,Dari segi Gameplay Turn based Asik juga lah,Visual effect nya aku suka keren bgt,Alur story Juga suka tapi masalahnya kadang itu animasinya suka patah patah dan lag karena Renderingnya kegedean size nya kyk Ulti Jing Yuan suka nge lag untuk dev tolong diperbaiki lgi untuk kedepannya",1,1,-1,-1
plankton _1,5,2023-06-30 17:00:15,"Buat grafik dan gameplay nya emang udh bagus apalagi efek animasi dari ultimate charnya itu keren banget, ya cuma kekurangan hsr ini kadang error waktu mau login, emang harus sih kondisi jaringan kalian kalo mau login hsr harus kenceng dan stabil",1,1,-1,-1
Aditya Dika,4,2023-06-21 12:55:02,"Game nya bagus, eksplor dan cari relik gampang tidak harus tryhard karena ada auto battle. Tapi tolong diperbanyak lagi untuk teka teki atau event nya. Jujur saya mulai bosan karena event, teka teki, story utama juga sudah selesai semua. Keep the good work Mihoyo💯",1,-1,-1,-1
M Andri Ilham,1,2023-07-19 2:52:30,"Udah pre unduh tapi masih aja disuruh update lagi 7gban dah total 24 gb an apknya. Tolong dong pihak hoyoverse benerin bug berkasnya, saya jadi harus uninstal dan donlod ulang lagi...",-1,-1,-1,-1
Yosua Jonshen Tjendana,2,2023-06-27 5:01:35,"Saya sempat pernah download game ini sudah dapat karakter bagus juga sudah berjalan jauh chapternya kemudian saya sempat hapus gamenya, barusan saya download lagi kenapa akun game saya ulang dari awal ya?, Karakter game yang sudah saya dapatkan mulai dari nol dan level trailbazer saya sudah sampai level 40an juga ikut ulang dari level 0, tolong diperbaiki ya dan tolong berikan solusinya",1,-1,-1,-1
Zharif Aula s.,5,2023-06-08 14:19:27,"Memiliki grafik dan cara battle yang unik, sangat jarang ada game turn-base di zaman sekarang. sebagai seorang penggemar game dengan genre turn-base aku sangat puas dengan gameplay, grafik dan model character di game ini, masih banyak yang harus ditambahkan karena game ini baru saja rilis",1,1,1,-1
RE:IN,5,2023-06-10 0:14:22,"Update kali ini bagus banget, event nya seru dan banyak reward stellar jade sama star rail special pass. Mini game simulasi museum juga worth it buat dimainin untuk mengisi waktu menunggu update story gk kayak game sebelah yang satu perusahaan, mini gamenya kartu. Hari-hari dicekokin kartu, endgame lawan dewa palsu pake kartu aja sekalian... (Gw masih kecewa sama rewardnya yg cuma dapat pas kenaikan lvl pemain doang) oke itu aja komen positif dan keluh kesah gw. Honkai Star Rail is the best",1,-1,-1,-1
Moh Hammim Murtadlo,4,2023-06-16 11:34:59,"Aku kasih B4 dulu, untuk segi permainan udah seru banget, cuma terlalu sedikit misi nya, jadi kurang banyak kegiatan jadi gampang bosen, tolong dong misi nya diperbanyak lagi, kalau bisa kasih misi sampingan biar ga gabut gabut banget, trus misi sampingannya kasih hadiah stellar jade juga lah, yaah minimal 30 stellar jade lah untuk satu misi nya👍🏻 #Tolong dibaca dong min keluh kesah para pemainmu ini",1,-1,-1,-1
Dimas koerdyanto,1,2023-06-12 19:06:29,"Saya tambah 1 bintang, karena sebelumnya masalah Error login setelah update masih sering terjadi, tapi sudah bisa di atasi dengan 3x percobaan. Tapi sekarang masalahnya malah suka force closed (padahal sebelum update tidak pernah terjadi) jadi saya masih tidak bisa bermain setelah update. Mohon segera di tindak lanjuti pihak pengembang.",-1,-1,-1,-1
Anime yogya01,3,2023-06-09 9:46:59,"HELP! Saya sering sekali gagal login/susah masuk & setiap ultimate sering lag (karakter Jing yuan saja) & lagi saat saya menggunakan silver wolf dalam tim itu membuat hp saya ngelag (saat membuka avatar saja) yang lain aman"" saja saya hanya punya keluhan tentang ""BUG LAG"" yang sangat merajalela digame ini setelah update terbaru!!! Padahal sebelum update itu lancar banget tanpa ada kenda satupun!!!!!!!!",1,1,-1,-1
Diablo,5,2023-06-06 23:37:04,"selama sebulan terahkir, ni game cukup buat gua enjoy, dari story dan aspek lainnya, musik design karakter dsb, gameplay ny ga terlalu membingungkan, turn base dicampur dengan open world, baru kali ini nemu game ginian, masterpiece",1,1,-1,1
Julian Oscar,5,2023-07-19 3:14:38,"Game nya bagus tapi pas mw download patch terbaru pake wifi malah ndak bisa, padahal buat buka app lain lacar jaya. Dimohon dikondisikan hoyoverse",1,-1,-1,-1
Zaky Febriant,5,2023-06-02 0:47:37,"Setelah 1 hari bermain, sangat puas dengan battle turn base yg simple namun tetap unik. Ntah kenapa UI nya agak berat, dan juga grafiknya bahkan lebih berat dari pada Genshin. Tapi tidak masalah, karena game ini turn base jadi gaperlu mengandalkan kecepatan tangan dan FPS yg tinggi. Tapi perlu diingat, tetap butuh device yang mid - high ya! saya tidak mengalami bug apapun.",1,-1,-1,1
Muhammad Naufal Taqi Laudza_PIPA,4,2023-05-02 2:26:02,"Gamenya seru banget, bisa explore, cari item, untuk bettlenya buat nostalgia sama game2 RPG. Untuk grafik mantap dah. Cuma yang disayangkan satu, pas di map kota/pemukiman yang banyak orangnya sering frame parah, jadi sarannya tolong buat fitur kepadatan orang yang bisa direndahin, supaya mengurangi resiko frame yang tidak mengenakkan",1,1,-1,-1
